"","tweet_text","create_at","names","screen_name","Gender"
"161","revealed how the earliest investors beat the stock market by   stocks investing funds investortips","2017-02-01 10:10:01","ANGELKINGS101","ANGEL KINGS",2
"162","  stock market react to the pussy grabber goin down","2017-02-01 09:40:06","MARYJO1218","MARY JO REYNOLDS",1
"163","the stock markets favorite trump promise might be a total dud ","2017-02-02 14:50:02","ALPHONSEQ","ALPHONSE QUENNEVILLE",2
"164","why stock market analysts will be wrong about  we‚Äôre already a month into new year and‚Ä ","2017-02-02 16:58:52","FOREX_WARRIOR","FOREX WARRIOR",NA
"165","tsco  barclays plc form  eptnonri  tesco plc ","2017-02-02 07:13:04","GALEBETT","JANET GALE",2
"166","tsco  wellington management group llp form   tesco plc ","2017-02-02 10:05:06","MARK332300","MARK",2
"167","gold gains as stock market volatility collapses to year lows b„rse dertraderat trading","2017-02-02 16:27:36","DER_TRADER_AT","MATTHIAS-SCHOMBER",2
"168"," anyone who follows me knows my  predictionw were      higher rates
higher dollar
higher oil
higher inflation
higher‚Ä","2017-01-31 08:58:57","_JAMISONG_","JAMISON GADDY ",2
"169","crowd psychology holds the secrets to winning in the stock market understand it and profit ","2017-02-02 19:22:29","DRACO333999","DRACO  COOPER",NA
"170","wayback machine buy when the masses are scared and run when they are not ","2017-02-02 12:30:41","MEYERS000111","JOHNATHAN MEYERS",2
"171","trump‚Äôs honeymoon with the stock market will soon be over  nouriel roubini
","2017-02-02 10:02:56","DROOLINDOG","DROOLIN' DOG",NA
"172","trump win triggers massive santa claus stockmarket rally ","2017-02-02 12:48:10","DRACO333999","DRACO  COOPER",NA
"173"," you stated you where for all peoples now i see you are not siding with stock market instead of the people shame on you","2017-02-01 14:05:25","JALAPENOLADY45","BARBRA MIDKIFF",1
"174"," dan loeb if trump is going to make america great again he needs a strong stock market ","2017-02-02 09:53:18","ORION659","CHRISTOS",2
"175","half the stock market was still running on computer systems built in the s

what happens when the old and new systems disagree on date","2017-02-01 20:30:23","FOLDABLEHUMAN","DAN OLSON",NA
"176","snapchat reveals plans for us stock market listing ","2017-02-02 19:57:11","WORLEYRUIZ","MARI BRETTELL",2
"177"," the stock market is expected to grow from  percent to  per cent larger the leading industry professor said","2017-01-31 10:02:55","BEANERBOARD","THE BEANER BOARD",NA
"178"," there is speculation that the russians were laundering money through foreign banks to manipulate the stock market is it true","2017-01-31 10:24:56","SUNDANCE_777","RONNY J. ESCAMILLA",1
"179","teach these companies not to meddle in politics and damage our trusted and loved  
boycott their products amp‚Ä ","2017-02-01 11:37:10","JFLECKENALVAREZ","JEANETTE ALVAREZ",1
"180","this not donald trump is the true revolution upending stockmarket investing  ","2017-02-01 09:07:51","JOHNPACE88","JOHN PACE",2
"181"," trump‚Äôs honeymoon with the stock market will soon be over  nouriel roubini worldnews news ","2017-02-02 10:03:24","SHAMBLES151","ROGER GALL",2
"182","snapchat files plans for us stock market listing ","2017-02-02 17:36:18","IFANCYAWEBSITE","IFANCYAWEBSITE.COM",NA
"183","legendary stock picker bill miller sees the market ok as long as bond yields remain low ","2017-02-02 07:27:25","PHIL_CARLSON","PHIL CARLSON",NA
"184","ruggero respigo  january  stock market contest results the winner is somethingelse with fnma pick and ‚Ä ","2017-02-02 13:33:12","RUGGERORESPIGO","RUGGERO RESPIGO",NA
"185","stock snapchat files plans for stock market listing snap the parent company of messaging app snapchat files‚Ä ","2017-02-02 17:48:43","STOCK8SIGNAL","STOCK SIGNAL-DAVE",NA
"186","atampt named top dividend stock with insider buying and  yield market","2017-01-31 14:39:33","ANDROWORLDNEWS","LUKITO ABRAHAM",NA
"187","stock market update investors display caution at midday ","2017-01-31 13:08:24","RICH_LEARN","RICHARD R LEARN",2
"188"," snapchat owner files for listing on us stock market to raise bn making it biggest us flotation in recent years ","2017-02-02 18:00:15","SEANMAYNEADAMS","SEAN",2
"189"," stock market listings denton","2017-02-01 16:32:04","FELLCARLWE88","MORGAN COOK",2
"190","tech snapchat files plans for us stock market listing by bbc","2017-02-02 17:39:07","_NEWS365","NETWORK NEWS",NA
"191","investors worried about a stock market crash   don‚Äôt worry be happy ","2017-02-02 14:07:43","MEYERS000111","JOHNATHAN MEYERS",2
"192","celg options volume chart in animation free stock station app itunes ","2017-01-31 16:30:09","OPTIONSPROVOL","OPTIONSPRO VOLUME",NA
"193","brazil stock market rally depends on one thing brazil ","2017-02-01 12:59:42","ED1ANIIA","ANI EDIANI",NA
"194"," financial expert secrets of the stock market that wall street doesn‚Äôt want you to know 
related‚Ä ","2017-01-31 18:42:18","TIMSCHULTEJR","TIM SCHULTE, JR.",NA
"195","rt seekingalpha the cnf  g continues to reliably signals the general stock market trend spy qqq dia sh iwm ‚Ä","2017-01-31 10:20:34","IJNEWSNET","IJ NEWS NETWORK",NA
"196"," they think the stock market went up because of it  it went up because it was delayed","2017-02-01 08:31:31","ELIZAWINDSO","ELIZA WINDSOR",2
"197"," confused by the stock market dont be a primer on stocks money wealth ","2017-02-01 14:31:47","AXIOMTHAWYZE","AXIOMATIC",NA
"198","snapchat unveils new york stock market filing ","2017-02-02 17:54:08","PFNEWSUK","PERSONALFINANCENEWS",NA
"199","there is a valid point to be made that  is colluding with this behavior and should either desist or be part‚Ä ","2017-02-02 13:26:54","UNGADJO1","NEVERMYPRESIDENT",NA
"200"," does trump take credit for the immigration stock sell off muslimban costing billions in market value hurting ameri‚Ä","2017-01-31 10:24:50","THEARTOFTHEXPAT","SHARON MCMENEMY KHAN",2
"201"," heres a list of all the stock market bubbles for the next  years find someone who knows what to do with it whatiwou‚Ä","2017-02-01 10:04:32","RAFESOLOMON","RAFE S",NA
"202"," debuts on toronto stock market eyes aggressive expansion plan ","2017-02-02 09:48:10","SCHULICHCGE","SCHULICH CGE",NA
"203","tlt options volume chart in animation free stock station app itunes ","2017-02-01 14:32:33","OPTIONSPROVOL","OPTIONSPRO VOLUME",NA
"204","dan loeb if trump is going to make america great again he needs a strong stock market  cnbc ","2017-02-02 08:26:58","JACQUEL20121997","JACQUELINE DIANNE HI",2
"205"," the stock market in  ","2017-01-31 18:34:29","ZACEFRONDAIIY","ZAC EFRON DAILY",NA
"206","stock markets flat as fed holds key rate toronto stock market on pace for fifth consecutive losing session ","2017-02-01 17:23:11","LONDONONBUZZ","LONDON ONTARIO BUZZ",2
"207","mo options oi chart free stock station app itunes ","2017-02-01 19:45:01","OPTIONSPROOI","OPTIONSPRO OI",NA
"208","the stock market is way overbought fck","2017-01-31 14:24:21","AUMY37690","AUMY37690",NA
"209"," how to trade binary options on netflix stock right now you must see this gtgt ","2017-01-31 12:53:27","SKINNINIGGA2RAN","IG:SKINNINIGGA_6RAN",NA
"210","a lesson learned from founder‚Äã on the day the stock market shatters  on ","2017-01-31 15:25:58","DAVIDHEITZ","DAVID HEITZ",2
"211","stockmarkets soar to record highs as trump rally shows no signs of letting up ","2017-02-02 20:14:00","SOLOMON99999000","VLAD ROTHSTEIN",2
"212","the stock is up  since this tweet not including dividends ","2017-01-31 15:29:49","THEFINANCEPANDA","PANDA CAPITAL",NA
"213","deutsche boerse head probed over stock buys  the business times channel newsasia‚Ä market","2017-02-01 18:29:50","MERGERINVESTING","MERGER INVESTING",NA
"214","dont have sex with someone who could care less about you and more about the stock market wise words from ","2017-01-31 19:25:56","JRUSSRUSS","JULIA RUSSELL",2
"215"," how to buy and invest in stocks investing ideas and tips stock market news ","2017-02-01 10:12:42","EVANTONOVA87939","HANNAH SIMPSON",1
"216"," trump‚Äôs honeymoon with the stock market will soon be over  nouriel roubini ","2017-02-02 10:51:28","FOLKIKAREN","KAREN FOLKERTS",2
"217"," welcome to today s market in oakmont pa after hours stock trading ","2017-02-02 16:15:34","NAUFLOUNAS91","HANNAH SIMPSON",1
"218","economic growth at yr highs around  karachi stock market up  death from terrorist attacks down two thirds","2017-02-01 13:07:38","SIYZK","SIY",NA
"219"," prepare for the imminent global economic collapse ‚Äì  stock market crash shtf economy ","2017-02-02 13:08:13","REVOLUTIONRESEA","REVOLUTIONRESEARCH",NA
"220","insanity or stupidity prevails why do americans spend more money on starbucks than on their k plans ","2017-02-02 07:00:07","DRACO333999","DRACO  COOPER",NA
"221"," this is why a little hard times a little stock market crash is what the doctor ordered","2017-02-02 10:39:34","CLASAM","KENNETH MERKATZ",2
"222","exxon mobil stock crowded with sellers market","2017-01-31 11:39:56","ANDROWORLDNEWS","LUKITO ABRAHAM",NA
"223","  signs a february stockmarket selloff may be brewing ","2017-01-31 12:03:08","IGUERRERO_IMAGO","ISABEL GUERRERO",1
"224","poor mans stock market thelotteryinwords","2017-02-01 20:02:23","JESUSMYNAMEISRA","JESUS",2
"225"," how to trade binary options on netflix stock right now you must see this gtgt ","2017-01-31 20:14:40","CURTISWHLTESEXY","CURTIS WHITE",2
"226","boom companies that openly criticized trump for making america safe again take stock market hit ","2017-02-02 07:12:50","K9ROTTS","TONIA D",1
"227","   hes trying to crash the stock market for his own benefit and this is good","2017-01-31 10:07:01","KANSEI13KANSEI","SENPAI 20K ",NA
"228"," ","2017-02-01 10:46:23","MIGS_N_SQUIGGS","MISTY SHAKLEFORD",1
"229","snapchat owner files for listing on us stock market to raise bn making it by bbcbreaking ","2017-02-02 17:48:05","6969GODZILLA","WAYNE FRENCH",2
"230","igas  igas energy plc share incentive plan ","2017-01-31 11:31:07","HOPPERGHPPR8","GRAHAME HOPPER",2
"231"," medh will elect to audit the entire co and up list to an exchange or otc qb  market update‚Ä ","2017-02-01 10:04:06","BENSTOCKERS","BEN MOLLY",NA
"232"," i think the stock market is starting to realize who‚Äôs in the oval office","2017-01-31 11:17:50","PRINCESSBRAVATO","WETHEPEOPLE",2
"233","the stock markets favorite trump promise might be a dud if there was one thing investors‚Ä ","2017-02-02 16:23:12","NEWSFINDER247","NEWSFINDER",NA
"234","otc markets  official site of the otcqx otcqb and otc pink marketplaces featuring free stock amp 

","2017-02-01 15:19:11","OTCBULLSNET","OTC BULLS",NA
"235","the latest china stock market news thanks to    china news","2017-01-31 12:21:54","CHINA_ADVISOR","CHINESE COMPANIES",1
"236","stability returns to global food commodity prices for the first time since  ","2017-02-02 07:57:08","KAH_HQ","KIDS AGAINST HUNGER",NA
"237","wayback machine buy when the masses are scared and run when they are not ","2017-02-02 10:27:04","TREND_AUDITOR","TREND AUDITOR",NA
"238","‚Äúthe stock market is the only market that when prices are slashed clients run away‚Äù ‚Äì don connelly","2017-01-31 18:10:22","ENLIGHTENFINAN","ENLIGHTEN FINANCIAL",NA
"239","is the trump effect over is a stock market crash next investing trading ","2017-02-02 09:24:03","TREND_AUDITOR","TREND AUDITOR",NA
"240","  really checked the stock market and weakening  lately thank your fuhrer trump and mini me bannon","2017-01-31 14:59:16","JAX_CRAB","JACQUELINE CRABTREE",2
"241"," snapchat owner files for listing on us stock market to raise bn making it biggest us flotation in recent years ","2017-02-02 17:38:02","SROSES1994","SS",NA
"242"," whatilearnedtoday stock market crash  mehbacon shortage omg activate the national guard","2017-02-02 06:19:26","DOCTHOMPSONSHOW","DOC THOMPSON",NA
"243"," majority of trump voters also believe unemployment and the stock market fell in the past  years retards","2017-02-01 14:48:57","NILHASNADAM","NILAHSNADAM",NA
"244"," rene rivkin i hate weekends because there is not stock market","2017-01-31 08:38:13","NUBOSTONGEORGE","OTC BOSTON GEORGE",NA
"245"," congrats drys just hit  up from my alert   trade daytrade the chart not stock‚Ä","2017-01-31 11:06:29","OGUIGURECO","KODY",2
"246","  cuban got spanked and embarrassedhe said stock market would tank then it hit all time high after trump election ha ha","2017-01-31 19:29:27","COMPLXGRL","KATHRYN",2
"247"," market bottoms usually occur when airwaves are full of negative news ","2017-02-01 10:11:34","SCUTTLEBUTALERT","SCUTTLEBUTALERT",NA
"248","market extra stockmarket trading is time shifting in the age of passive investing ","2017-02-02 08:25:10","FABIO_VANORIO","FABIO VANORIO",1
"249","herd mentality amp why this stock market bull will not crash ","2017-01-31 20:27:50","JEDI_PITE_BRE","STOCKS_&_DIVIDENDS",NA
"250"," shareholder register tightening great to see this before news hits ","2017-02-01 13:12:54","DANSCOMP7","DAN R",NA
"251","lemmings only function in the stock market is to serve as cannon fodder ","2017-02-02 11:28:50","YERISSA_BLONDEE","YERISSA MELONFIELD",NA
"252"," bad news donnieboy 
seems the stock market doesnt like 
your racism amp hate 

who knew right ","2017-01-31 20:22:41","YTZPAUL","YTZPAUL",NA
"253"," are you watching   ","2017-01-31 07:54:26","DLUHTJARV","DAWN CHARLONNE",NA
"254"," the stock market right now myvote electionnight ","2017-02-02 09:33:30","69B8BD412E89417","GALAMANDER",NA
"255","stocks off will these  techs follow apple to strong gains in  tech stocks","2017-02-02 12:51:07","TOP_TECH_STOCKS","TOP TECH STOCKS ",NA
"256","snapchat files plans for us stock market listing ","2017-02-02 17:48:49","SNSTXWAWGOXQ1","HENRIETTE BETTON",2
"257"," i remember hearing during the election how the stock market would tank if trump won guess what the dow hit  for th‚Ä","2017-01-31 14:24:04","HYLAND114","HYLAND11",NA
"258","and stock market going from  to  wasnt good enough ","2017-02-02 19:56:19","PERSONANONDATA","MICHAEL CAIRNS",2
"259","from a contrarian perspective a trump win would create a lovely opportunity in the stock market ","2017-02-01 16:14:33","YERISSA_BLONDEE","YERISSA MELONFIELD",NA
"260","buythedip stock market slumps as investors sell industrials tech stocks ","2017-01-31 11:08:14","RONREBLANDO","RON REBLANDO",NA
"261","investing the stock market can be fun and profitable provided you don‚Äôt act like a jackass  ","2017-02-02 10:03:40","MEYERS000111","JOHNATHAN MEYERS",2
"262"," ","2017-02-01 10:43:28","IZZY6968","NICHOLE",2
"263","‚êÔè news ‚Ä dan loeb if trump is going to make america great again he needs a strong stock market he has a‚Ä‚Ä ","2017-02-02 08:34:02","MASCARACITY",".",NA
"264"," brazil stock market rally depends on one thing brazil brazil ","2017-02-02 06:41:16","UK24NEWS","CHRISTAL",2
"265","trump s presidency  stockmarket crash or start of new megatrends ","2017-02-01 09:24:56","YERISSA_BLONDEE","YERISSA MELONFIELD",NA
"266","         hows that stock market doing boss  congrats you alone","2017-01-31 11:20:04","US_ECON","USECON",NA
"267","stock market update energy shows relative weakness equity indices are little changed since the last‚Ä briefingcom","2017-02-01 12:31:41","FINANZLINKSCOM","FINANZLINKSUSA",NA
"268","apple bumps up stock futures ahead of fed release stock market investors ","2017-02-01 08:04:06","IBEX35_PRO","MISTER IBEX",NA
"269"," the stock market set to go bullish  ","2017-01-31 17:45:24","DAVLDJMCCUNE","DAVID MCCUNE",2
"270"," the stock market in  ","2017-02-01 14:45:47","CAAAAITLINN","CP SQUARED",NA
"271","tom brady has the power to decide the super bowl and stock market ","2017-02-01 16:55:38","DARCYWELLS65","DARCY WELLS",2
"272","no they wont when the stock market tanks ","2017-02-02 17:00:54","CABROBST","CHARLES BROBST",2
"273"," bad news donnieboy 
seems the stock market doesnt like 
your racism amp hate 

who knew right ","2017-01-31 17:42:34","VEVE4HEART","PMK",NA
"274","ruggero respigo  how the rule of law can affect the stock market via reconomics ","2017-01-31 13:32:54","RUGGERORESPIGO","RUGGERO RESPIGO",NA
"275"," the secs reaction to high frequency trading amtd bac bcs bid bnpqy cboe cme cs db g‚Ä","2017-01-31 13:27:12","2025SHIFT","2025SHIFT",NA
"276"," every time trump speaks this is what your k amp stock market is doing
very dangerous unstable incoherent ","2017-02-02 13:45:30","KENMCLARENX23","MARIO K VAZQUEZ",2
"277"," trump‚Äôs honeymoon with the stock market will soon be over  nouriel roubini ","2017-02-02 12:55:54","ELGUERRERO561","TECH & BUZZ",NA
"278","an analysis of amazon web services contribution to inc  stock market daily investors w ","2017-02-02 10:30:21","CLOUDFEEDNET","CLOUDFEED.NET",NA
"279","tracking stock market trends with ‚Ä   ","2017-02-01 09:02:29","SARAHMOORE202","SARAH MOORE",2
"280","me yesterday revolution now
me today hm what part of the stock market should i invest in","2017-02-02 09:03:32","VILETRANS","¬ò≠KILL THE NAZI¬ò≠",NA
"281","a multi billionaire and he justifies his mcdonalds breakfast order based on the stock market","2017-02-02 08:55:35","J_LUJAN12","JESSICA LUJAN",2
"282"," over the long term the stock market news will be good w buffett mba aacsb edtech digped bschool globaled ","2017-02-01 09:29:34","RYR3NTV","RYAN KAREN TV",NA
"283"," stock market slumps as investors sell industrial tech shares  ","2017-01-31 18:51:20","JAZZY74","ANNIE @JAZZY74",2
"284","majesco ltd granting of employee stock options esops sensex nifty","2017-02-01 08:02:03","STOCKSNEWS9","BSE NSE NEWS BOT",NA
"285","altrincham timperley huge demand from buyers amp a shortfall of stock so take advantage of a buoyant housing market‚Ä ","2017-02-02 14:30:31","THORNLEYGROVES","THORNLEY GROVES",2
"286","how is the stock market still doing so well even after the dollar is dropping aliens wejustdontknow ","2017-02-02 17:17:47","RELICVAMPIRE","ROB THOMPSON",NA
"287"," obama leaving trump with a strong economy of amerca with health coverage unemployment rate of   gdp   tr‚Ä ","2017-01-31 07:59:07","9A1E6C8A99984E2","@TOWMAN883",NA
"288","negative interest rates will fuel volatility and stock market opportunity ","2017-02-02 13:00:10","DRACO333999","DRACO  COOPER",NA
"289","stock index futures trading lower ","2017-01-31 10:04:36","SIMAMSPROPERTY","SIMAMSPROPERTIES",NA
"290"," its always advisable to have a cleat objective when you get into the stock market tradingbell ","2017-02-02 13:51:37","JOSNDUNGU","JOSEPHINE N-OKORE",2
"291"," bahahaha ignorant much profit up ","2017-01-31 13:48:53","LISALIMONTX","LISA LIMON",NA
"292","x options volume chart in animation free stock station app itunes ","2017-02-02 18:31:08","OPTIONSPROVOL","OPTIONSPRO VOLUME",NA
"293","slw options oi chart free stock station app itunes ","2017-01-31 08:45:09","OPTIONSPROOI","OPTIONSPRO OI",NA
"294","as an investor there are some things that you can‚Äôt control ie stock market performance ","2017-02-02 13:02:24","RYANPMCDERMOTT","RYAN P. MCDERMOTT",NA
"295"," i know my stock image options are limited okay","2017-01-31 16:23:52","ABDULAZIM","ABDUL-AZIM",2
"296","what the stock market is saying trump may have a downside too  ","2017-01-31 12:10:19","BARRONSADVISORS","BARRON'S ADVISORS",2
"297","apple just destroyed more than  billion in stock market value in under an hour aapl ","2017-02-01 08:34:50","JEANINCESS","JEAN ¬ôõ",1
"298","saudi arabian stock market again testing post down trendline log scale ksa ","2017-02-01 08:25:27","JLYONSFUNDMGMT","DANA LYONS",NA
"299","stock market analysis in the new age trading traders","2017-02-01 14:51:26","MARKETTECH","MARKET TECHNOLOGIES",2
"300"," snapchat owner files for listing on us stock market to raise bn making it biggest us flotation in recent years ","2017-02-02 19:54:01","FARSANEKAY","FARSANE KAY",NA
"301"," apptrade talks about  creating the stock market of apps ","2017-01-31 08:14:29","2PARKCITY","MR. SASS",NA
"302","you have to respect a stock market breakout ","2017-02-01 14:47:15","TOUCH_TRADES","TOUCHTRADES.COM",NA
"303","academia need i remind you that it was with the paid consent of folks from academia that crashed the stock market crushing","2017-01-31 13:34:17","TIKTOKTHOUGHTS","NICHOLAS RICKS",2
"304"," how to trade binary options on netflix stock right now you must see this gtgt ","2017-01-31 13:16:08","LUVMYLIFE_53","KIM",2
"305","three charts illustrating hated stock market bull still has legs ","2017-02-02 11:20:32","SAUL42","TACTICAL INVESTOR",NA
"306","wake up every morning and look at the stock market ","2017-02-02 14:33:00","A1_LIVIN_","A1",NA
"307","america business
todays stock market update  ","2017-01-31 11:08:34","AMERICANEWS808","AMERICA NEWS NETWORK",2
"308","overcoming the fear of losing money in the stockmarket by being a contrarianinvestor ","2017-02-02 17:38:31","SOLOMON99999000","VLAD ROTHSTEIN",2
"309","clintonlinked firm plummets first day on stock market ","2017-02-02 19:55:09","NEWSAMERICANSUS","NEWS MR. PRESIDENT",NA
"310","legendary stock picker bill miller sees the market ok as long as bond yield remains low ","2017-02-02 07:20:57","EMPCOMLLC","EMPEROR COMMODUS LLC",NA
"311","   also genocide nuclear war and a stock market crash","2017-01-31 07:22:02","TIMBOCONQUESO","TIMBO",NA
"312"," us he have genre huge dining later io two med involunteer ibushiro anding room and up no one in the stock marke‚Ä","2017-02-01 11:30:29","STOCKNETWORK","STOCKNETWORK",NA
"313","stock market talkz ‚Ä re financial reportsq ","2017-02-02 09:50:00","LANKA_EQUITY","LANKA EQUITY FORUM",NA
"314","from russia with love russian stock market great long term buy ","2017-01-31 15:32:14","MEYERS000111","JOHNATHAN MEYERS",2
"315","investing the stock market can be fun and profitable provided you don‚Äôt act like a jackass  ","2017-02-01 09:11:31","WHISKEY999111","PHILIP RAGNER",2
"316","marketwatch market snapshot stock market ends mostly lower but posts monthly gains finance topstories","2017-01-31 16:28:47","DAILYFN","DAILY #FINANCE",NA
"317","the stock market is way overbought awqi","2017-02-01 08:27:22","OSLO32175","OSLO32175",NA
"318"," markets take renminbis elevation as reserve currency in their stride  afr com trading places stock market scene  the c‚Ä","2017-02-01 10:06:43","STOCKWHISPERS","PENNY STOCK WHISPERS",1
"319","all stock market corrections should be embracedmarket not ready to crash  ","2017-01-31 17:16:29","YERISSA_BLONDEE","YERISSA MELONFIELD",NA
"320"," almost the entire trump bump in the stock market has gone away ","2017-01-31 19:08:02","EAGLESTAR51ST","EAGLESTAR",NA
"321"," our money isnt actually worth shit if the stock market crashes it holds no value","2017-02-01 13:23:07","COOLEEBRAVO","COOLEE BRAVO ",NA
"322","should investors buy the stockmarket dip ","2017-02-01 15:22:13","NEWSMAXFINANCE","NEWSMAX FINANCE",NA
"323","has to be ability not knowledge surely its difficult for the  in poverty to choose mo to retirement over‚Ä ","2017-01-31 09:27:36","RYANSTRAIGHT","DR. RYAN STRAIGHT",NA
"324","is motorola solutions incnyse msi a large market cap stock a smart buy motorola ","2017-01-31 19:34:04","MOTOROLABEEA7","MOTOROLA BEE",NA
"325","stock market its time to ignore growth and to worry about‚†risks ","2017-02-02 19:27:33","BANKINFORMER","BANK INFORMER",NA
"326"," play stock ticker ‚Äì the classic stock market board game ‚Äì how to play what stock price ","2017-02-01 11:46:17","URSTARPASS88","SARAH WINOT",2
"327","welcome to miccolos blog nigerian stock market gainers and losers  ","2017-02-01 12:42:35","MICCOLOSBLOG","MICCOLOS BLOG",NA
"328"," how to trade binary options on netflix stock right now you must see this gtgt ","2017-01-31 18:14:34","SEERSGLFT","SEER'S GIFT",NA
"329"," stock market current events sweden","2017-01-31 18:35:33","BENDUYPREV91","EMILY JOHNSON",1
"330","stock market morning  ","2017-02-02 08:53:12","HOTSTOCKS_NYC","HOT STOCKS NYC",NA
"331"," british stock market topeka","2017-02-02 13:58:53","MERNOLPHPA87","AUTUMN",1
"332","boom in us company stock buybacks not over set to continue for years to come investing trading ","2017-01-31 09:13:28","SOLOMON99999000","VLAD ROTHSTEIN",2
"333","vrx at  buy  stock market alert sent at  am et to subscribers stocks","2017-02-02 10:13:33","ESTOCKPICKS","ESTOCKPICKS",NA
"334","tsco  threadneedle asset mgmt hldgs ltd form   tesco plc ","2017-02-02 09:39:07","MARK332300","MARK",2
"335","stock market bull will go ballistic under trump administration ","2017-02-01 12:56:53","TREND_AUDITOR","TREND AUDITOR",NA
"336","the stock market is way overbought fck","2017-01-31 14:24:17","TART35031","TART35031",NA
"337","the stock market is way overbought fck","2017-01-31 14:24:18","WICU35901","WICU35901",NA
"338","seasonal stock market trends ff list rt like tipromoservice ","2017-02-01 10:50:39","PCGUYNETWORK","#1 TECH GEEK",NA
"339"," mortgages debut setting next stage for stockmarket bull investing trading ","2017-01-31 18:22:21","MEYERS000111","JOHNATHAN MEYERS",2
"340","futures rise on apple rally fed meeting in focus  reuters  us stock index futures rose on wednesday in  ","2017-02-01 08:01:30","PROPERTY_TOUR","PROPERTY TOUR",NA
"341","jaywiz financial reources stock market timingwhat now  the week will end ","2017-02-02 16:06:20","JAYWIZFINANCIAL","GERALD JAY STRAUSS",2
"342"," hey the stock market is down  since the ban announcement can you tweet about it pls ","2017-01-31 19:01:53","HEATHERDUBBZ","HEDDER WHALEYYBOO",2
"343","indonesia expects investment in energy to soar amid rising commodity prices investmentresources ","2017-01-31 17:45:04","WUN2","NATHANIEL ASKEW",2
"344","is the us stock market rally a set up to bring down donald trump through an orchestrated financial crash ","2017-01-31 17:31:50","TRUTHERFOREVER","TRUTHER FOREVER",NA
"345","mbt dividend stock  russias largest wireless cell phone telecommunications pro dividends passiveincome stocks","2017-02-02 06:31:33","MADCASHLAB","CASH LAB",NA
"346","the stock market is pure fiction what it took a company to build over years can be wiped off in a sec deck","2017-02-02 20:02:10","BAGHOLDERQUOTES","BAG HOLDER",NA
"347","vix is totally useless for predicting stockmarket direction focus on masspsychology and the trend ","2017-02-02 06:19:31","MEYERS000111","JOHNATHAN MEYERS",2
"348","stock market falls again gold amp silver rip higher by gregory mannarino ","2017-01-31 20:14:51","EMCTSPRIME","EMCTSPRIME",NA
"349","clintonlinked ‚Äòlaureate education‚Äô tanks in first day on stock market ","2017-02-02 09:15:31","WETRUSTINTRUMP","WE WILL MAGA",NA
"350","hertz global htz stock moving higher on merger chatter  cna   cna finance‚Ä market","2017-02-01 13:19:24","MERGERINVESTING","MERGER INVESTING",NA
"351","commented on stocktwits the stock market based on an expected value calcu ","2017-02-01 15:51:16","ILLUMINATINVEST","ILLUMINATI INVESTOR",NA
"352","should you invest in the stock market now stock investing earlyretire ","2017-02-02 11:24:09","TPOHAPPINESS","TPOHAPPINESS",NA
"353","awesome new patriotic stock design  polyester  or fleece  options x   samph  email hono‚Ä ","2017-01-31 10:03:19","HONORBLANKETS","HONOR BLANKETS",1
"354","the stock market loves chaos or hates it depending on which side you take insiders know you can make money when the market goes down too","2017-01-31 16:19:14","SHURISPAT1945","PATRICIA OVERAITIS",2
"355"," the way to go man ","2017-02-02 12:11:33","ANGELOSATORI","ANGELO.",2
"356","yahoofinance drops in postelection stock winners drag market lower ","2017-01-30 18:23:27","SERGE_POZNANSKI","SERGE POZNANSKI",NA
"357","stock market prediction algorithm based on ai returns up to  in  days stocks stockmarket","2017-02-02 08:26:08","IKFRUSSIA","—è –∑–Ω–∞—é –ø–µ—Ä–≤—ã–º",NA
"358","apple just destroyed more than  billion in stock market value in under an hour applestock‚Ä applestockaapl","2017-02-01 08:34:42","S0FLA0","SOFIA",1
"359","live  catch  on varney at  et today  topics include trump rally stock market crash amp a drop in middle class net worth","2017-02-02 09:45:08","ECONOMYMARKETS","ECONOMY AND MARKETS",NA
"360","futures slip as investors fret over trumps policies  reuters  us stock index futures fell on tuesday th ","2017-01-31 08:02:24","PUTTNPDX","PAUL DEVEREAUX",NA
"361","how the stock market decides warren buffetts mcdonalds breakfast  busines leadership management","2017-02-01 12:18:43","MECFFX","MEC-FAIRFAX",NA
"362","tsco  lansdowne partners uk llp form   tesco plc ","2017-01-31 08:04:06","MATTISON76","MATT ISON",2
"363","today stock market ","2017-01-31 17:37:00","STOCKBRAIN99","TRADER BOB",NA
"364","thats why i referenced canadian weedstocks but to clarify on the otc on canadian exchange duediligence is alw‚Ä ","2017-02-02 15:21:38","CYNICAL_TURD","NASTY CYNICAL TURD",NA
"365","ask a fool is the stock market too expensive to invest in right now   ","2017-02-01 19:09:55","HFINANCIALSPAN","FINANCIAL SPAN",NA
"366","i should take all my savings for a down payment on a home out of the stock market right","2017-02-01 20:25:37","CF_LARUE","ERIC CHESTERTON",NA
"367","good insights by  in this  story  signs a  selloff in february may be in the cards ","2017-01-31 07:55:28","ANDREWTHRASHER","ANDREW THRASHER, CMT",2
"368"," as trump speaks realtime about a rising stock market friday marked  straight trading days wo  decline for the samp‚Ä","2017-02-01 11:05:56","SOLANGEPEDREIR1","SOLANGE PEDREIRA",NA
"369","high frequency trading flash boys losing steam stockbroker ","2017-02-02 12:48:33","CURRENEX1","CURRENEX",NA
"370","how to achieve above average gains in the stock market  ","2017-02-02 12:26:02","JEDI_PITE_BRE","STOCKS_&_DIVIDENDS",NA
